player_id;player_name;Conteggio
924850;Bobby Wales;3
926694;Arthur Vermeeren;6
927933;Velizar-Iliya Iliev;2
929746;Leonardo Di Tommaso;1
929943;Francis Onyeka;3
932733;Leonardo Baroncelli;1
932740;Jonas Harder;1
933217;Krisztián Lisztes;2
934159;Tommaso Martinelli;3
934461;Federico Chinetti;1
934863;Tommaso Pittino;4
936183;Christian Corradi;3
936684;Saad El Haddad;2
936874;Tyrique George;3
937955;Héctor Fort;3
941869;Yellu Santiago;3
942814;Lorenzo Tosto;3
943473;Milos Jovic;2
943795;Jovan Milosevic;5
944427;Edhy Zuliani;2
948273;Mario Martín;5
949113;Pape Demba Diop;5
951957;Noah Fenyő;2
961948;Marcos Fernández;2
962125;Buba Sangaré;3
962555;Abakar Sylla;3
964087;Alphadjo Cissè;4
969153;Mathis Clairicia;3
969192;Ebenezer Akinsanmiro;5
971570;Endrick;3
977877;Ayanda Sishuba;5
979766;Mathis Lambourde;3
980576;Amine Salama;7
982081;Oluwaseun Adewumi;3
982267;Ibrahim Sulemana;7
983989;Facundo Buonanotte;7
986286;Ismaïl Bouneb;2
986288;Sidiki Chérif;2
986310;Mathis Saka;2
988272;Yoni Gomis;3
990146;Joyeux Masanka Bungi;2
991773;Abiel Osorio;3
994536;Claudio Echeverri;6
995520;Oluwaseun Ogbemudia;2
996453;Maat Daniel Caprini;2
1000675;Alejo Sarco;3
1004327;Min-hyeok Yang;5
1004723;Fellipe Jack;5
1005575;Vitor Reis;3
1007720;Tyler Bindon;6
1009596;Junior Diaz;5
1009633;David Pejičić;2
1011147;Mikey Moore;2
1011738;Harry Amass;4
1015624;Óscar Perea;2
1018259;Gift Orban;4
1028162;Antoine Joujou;5
1030153;Justin Bourgault;3
1033005;Coba da Costa;2
1045344;Artem Stepanov;4
1047097;Yoram Zague;3
1049151;Dembo Sylla;4
1051741;Ank Bølling Asmussen;3
1052291;Beres Owusu;4
1053147;Mahamadou Diawara;4
1053148;Naoufel El Hannach;3
1057820;Jeremy Agbonifo;4
1058354;Matteo Palma;3
1058368;Francesco Camarda;3
1061122;Adrián Liso;3
1061123;Pau Sans;2
1061283;Mateo Flores;2
1061660;Selvi Clua;2
1061665;Jastin Garcia;2
1061820;Lorenzo Venturino;3
1062513;Karlson Nwanege;1
1064471;Fer López;4
1067902;Sankara Karamoko;2
1068110;Rabby Nzingoula;5
1069512;Jonah Kusi-Asare;3
1073997;Shio Fukuda;2
1074967;Gustavo Albarracín;4
1075579;Mathys Angély;2
1075580;Mathys Niflore;2
1075590;Rayane Messi;3
1086636;Gabriel Moscardo;5
1104143;Benjamin Pauwels;2
1106860;Enzo Molebe;3
1108145;Cheick Oumar Konaté;2
1108203;Min-su Kim;2
1108478;Alejandro Gomes Rodríguez;2
1110645;Filipe Bordon;2
1111663;Kingstone Mutandwa;3
1118086;Sebastian Esposito;2
1121298;Juma Bah;7
1124005;Christantus Uche;3
1126894;Malcolm Jeng;2
1127730;Thiago Fernández;3
1130445;Abdoul Koné;4
1144158;Benjamin Arthur;2
1144700;Matías Moreno;3
1145504;Aarón Anselmino;6
1155608;Amady Camara;3
1160378;Souleymane Sagnan;3
1160753;Isaac Cossier;2
1160813;Kembo Diliwidi;2
1176295;Pape Moussa Fall;3
1178488;Idrissa Gueye;3
1180835;Issiaga Camara;4
1182738;Abdoulaye Faye;3
1183575;Pape Diong;2
1191520;Nils Zätterström;3
1210422;Aboubacar Bassinga;2
1225900;Ehije Ukaki;2
1227723;Gaoussou Diakité;4
1228320;Pape Sissoko;4
1275040;Noham Kamara;3
1296876;Marc Domènech;2
1363814;Precious Benjamin;3
250478;Matt Targett;9
256773;Dan Barlaser;6
328609;Derek Cornelius;2
351749;Kalvin Phillips;8
